sample_num	sample_time	sampling_interval	imaging_frame	frame_time	stimulus_epoch	stim_frame	epoch_time	stim_info1	stim_info2	stim_info3	
1	0.003	0.003	0	1.0	1	0.003	0	0	0	
2	0.022	0.019	0	1.0	2	0.022	0	0	0	
3	0.037	0.014	0	1.0	3	0.037	0	0	0	
4	0.054	0.017	0	1.0	4	0.054	0	0	0	
5	0.071	0.017	0	1.0	5	0.071	0	0	0	
6	0.087	0.017	0	1.0	6	0.087	0	0	0	
7	0.104	0.017	0	1.0	7	0.104	0	0	0	
8	0.121	0.017	0	1.0	8	0.121	0	0	0	
9	0.137	0.017	0	1.0	9	0.137	0	0	0	
10	0.154	0.017	0	1.0	10	0.154	0	0	0	
11	0.171	0.017	0	1.0	11	0.171	0	0	0	
12	0.188	0.017	0	1.0	12	0.188	0	0	0	
13	0.204	0.016	0	1.0	13	0.204	0	0	0	
14	0.221	0.017	0	1.0	14	0.221	0	0	0	
15	0.237	0.016	0	1.0	15	0.237	0	0	0	
16	0.254	0.017	0	1.0	16	0.254	0	0	0	
17	0.271	0.017	0	1.0	17	0.271	0	0	0	
18	0.287	0.016	0	1.0	18	0.287	0	0	0	
19	0.304	0.017	0	1.0	19	0.304	0	0	0	
20	0.321	0.017	0	1.0	20	0.321	0	0	0	
21	0.337	0.017	0	1.0	21	0.337	0	0	0	
22	0.354	0.017	0	1.0	22	0.354	0	0	0	
23	0.371	0.017	0	1.0	23	0.371	0	0	0	
24	0.387	0.017	0	1.0	24	0.387	0	0	0	
25	0.404	0.017	0	1.0	25	0.404	0	0	0	
26	0.421	0.017	0	1.0	26	0.421	0	0	0	
27	0.437	0.017	0	1.0	27	0.437	0	0	0	
28	0.454	0.017	0	1.0	28	0.454	0	0	0	
29	0.471	0.017	0	1.0	29	0.471	0	0	0	
30	0.487	0.016	0	1.0	30	0.487	0	0	0	
31	0.504	0.017	0	1.0	31	0.504	0	0	0	
32	0.521	0.017	0	1.0	32	0.521	0	0	0	
33	0.537	0.017	0	1.0	33	0.537	0	0	0	
34	0.554	0.017	0	1.0	34	0.554	0	0	0	
35	0.571	0.017	0	1.0	35	0.571	0	0	0	
36	0.587	0.016	0	1.0	36	0.587	0	0	0	
37	0.604	0.017	0	1.0	37	0.604	0	0	0	
38	0.621	0.017	0	1.0	38	0.621	0	0	0	
39	0.637	0.016	0	1.0	39	0.637	0	0	0	
40	0.654	0.017	0	1.0	40	0.654	0	0	0	
41	0.671	0.017	0	1.0	41	0.671	0	0	0	
42	0.688	0.017	0	1.0	42	0.688	0	0	0	
43	0.704	0.015	0	1.0	43	0.704	0	0	0	
44	0.721	0.017	0	1.0	44	0.721	0	0	0	
45	0.738	0.017	0	1.0	45	0.738	0	0	0	
46	0.754	0.017	0	1.0	46	0.754	0	0	0	
47	0.771	0.017	0	1.0	47	0.771	0	0	0	
48	0.788	0.017	0	1.0	48	0.788	0	0	0	
49	0.804	0.016	0	1.0	49	0.804	0	0	0	
50	0.821	0.017	0	1.0	50	0.821	0	0	0	
51	0.838	0.017	0	1.0	51	0.838	0	0	0	
52	0.854	0.017	0	1.0	52	0.854	0	0	0	
53	0.871	0.017	0	1.0	53	0.871	0	0	0	
54	0.888	0.017	0	1.0	54	0.888	0	0	0	
55	0.904	0.017	0	1.0	55	0.904	0	0	0	
56	0.921	0.017	0	1.0	56	0.921	0	0	0	
57	0.938	0.017	0	1.0	57	0.938	0	0	0	
58	0.954	0.017	0	1.0	58	0.954	0	0	0	
59	0.971	0.017	0	1.0	59	0.971	0	0	0	
60	0.988	0.017	0	1.0	60	0.988	0	0	0	
61	1.004	0.016	0	1.0	61	1.004	0	0	0	
62	1.021	0.017	0	1.0	62	1.021	0	0	0	
63	1.038	0.017	0	1.0	63	1.038	0	0	0	
64	1.054	0.017	0	1.0	64	1.054	0	0	0	
65	1.073	0.018	0	1.0	65	1.073	0	0	0	
66	1.087	0.014	0	1.0	66	1.087	0	0	0	
67	1.104	0.018	0	1.0	67	1.104	0	0	0	
68	1.121	0.017	0	1.0	68	1.121	0	0	0	
69	1.138	0.017	0	1.0	69	1.138	0	0	0	
70	1.155	0.017	0	1.0	70	1.155	0	0	0	
71	1.170	0.016	0	1.0	71	1.170	0	0	0	
72	1.188	0.018	0	1.0	72	1.188	0	0	0	
73	1.204	0.016	0	1.0	73	1.204	0	0	0	
74	1.221	0.017	0	1.0	74	1.221	0	0	0	
75	1.238	0.016	0	1.0	75	1.238	0	0	0	
76	1.254	0.016	0	1.0	76	1.254	0	0	0	
77	1.271	0.017	0	1.0	77	1.271	0	0	0	
78	1.288	0.016	0	1.0	78	1.288	0	0	0	
79	1.304	0.017	0	1.0	79	1.304	0	0	0	
80	1.321	0.017	0	1.0	80	1.321	0	0	0	
81	1.338	0.017	0	1.0	81	1.338	0	0	0	
82	1.354	0.017	0	1.0	82	1.354	0	0	0	
83	1.371	0.017	0	1.0	83	1.371	0	0	0	
84	1.388	0.017	0	1.0	84	1.388	0	0	0	
85	1.404	0.017	0	1.0	85	1.404	0	0	0	
86	1.421	0.017	0	1.0	86	1.421	0	0	0	
87	1.437	0.016	0	1.0	87	1.437	0	0	0	
88	1.454	0.017	0	1.0	88	1.454	0	0	0	
89	1.471	0.017	0	1.0	89	1.471	0	0	0	
90	1.488	0.017	0	1.0	90	1.488	0	0	0	
91	1.505	0.017	0	1.0	91	1.505	0	0	0	
92	1.521	0.016	0	1.0	92	1.521	0	0	0	
93	1.538	0.017	0	1.0	93	1.538	0	0	0	
94	1.554	0.017	0	1.0	94	1.554	0	0	0	
95	1.571	0.017	0	1.0	95	1.571	0	0	0	
96	1.588	0.017	0	1.0	96	1.588	0	0	0	
97	1.605	0.017	0	1.0	97	1.605	0	0	0	
98	1.621	0.016	0	1.0	98	1.621	0	0	0	
99	1.637	0.016	0	1.0	99	1.637	0	0	0	
100	1.655	0.017	0	1.0	100	1.655	0	0	0	
101	1.671	0.016	0	1.0	101	1.671	0	0	0	
102	1.688	0.017	0	1.0	102	1.688	0	0	0	
103	1.705	0.017	0	1.0	103	1.705	0	0	0	
104	1.721	0.016	0	1.0	104	1.721	0	0	0	
105	1.738	0.017	0	1.0	105	1.738	0	0	0	
106	1.755	0.017	0	1.0	106	1.755	0	0	0	
107	1.771	0.015	0	1.0	107	1.771	0	0	0	
108	1.788	0.017	0	1.0	108	1.788	0	0	0	
109	1.805	0.017	0	1.0	109	1.805	0	0	0	
110	1.821	0.016	0	1.0	110	1.821	0	0	0	
111	1.838	0.017	0	1.0	111	1.838	0	0	0	
112	1.855	0.017	0	1.0	112	1.855	0	0	0	
113	1.871	0.017	0	1.0	113	1.871	0	0	0	
114	1.888	0.017	0	1.0	114	1.888	0	0	0	
115	1.905	0.017	0	1.0	115	1.905	0	0	0	
116	1.922	0.017	0	1.0	116	1.922	0	0	0	
117	1.937	0.016	0	1.0	117	1.937	0	0	0	
118	1.955	0.017	0	1.0	118	1.955	0	0	0	
119	1.971	0.016	0	1.0	119	1.971	0	0	0	
120	1.988	0.017	0	1.0	120	1.988	0	0	0	
121	2.005	0.017	0	1.0	121	2.005	0	0	0	
122	2.021	0.017	0	7.0	1	0.016	0.0	0	0	
123	2.038	0.017	0	7.0	2	0.033	0.0	0	0	
124	2.055	0.017	0	7.0	3	0.050	0.0	0	0	
125	2.071	0.017	0	7.0	4	0.066	0.0	0	0	
126	2.088	0.017	0	7.0	5	0.083	0.0	0	0	
127	2.105	0.017	0	7.0	6	0.100	0.0	0	0	
128	2.121	0.016	0	7.0	7	0.116	0.0	0	0	
129	2.138	0.017	0	7.0	8	0.133	0.0	0	0	
130	2.155	0.017	0	7.0	9	0.150	0.0	0	0	
131	2.172	0.017	0	7.0	10	0.167	0.0	0	0	
132	2.187	0.016	0	7.0	11	0.183	0.0	0	0	
133	2.205	0.017	0	7.0	12	0.200	0.0	0	0	
134	2.221	0.016	0	7.0	13	0.216	0.0	0	0	
135	2.238	0.017	0	7.0	14	0.233	0.0	0	0	
136	2.255	0.017	0	7.0	15	0.250	0.0	0	0	
137	2.272	0.017	0	7.0	16	0.267	0.0	0	0	
138	2.287	0.016	0	7.0	17	0.283	0.0	0	0	
139	2.305	0.017	0	7.0	18	0.300	0.0	0	0	
140	2.321	0.016	0	7.0	19	0.316	0.0	0	0	
141	2.338	0.017	0	7.0	20	0.333	0.0	0	0	
142	2.355	0.016	0	7.0	21	0.350	0.0	0	0	
143	2.371	0.016	0	7.0	22	0.366	0.0	0	0	
144	2.388	0.017	0	7.0	23	0.383	0.0	0	0	
145	2.405	0.017	0	7.0	24	0.400	0.0	0	0	
146	2.421	0.017	0	7.0	25	0.417	0.0	0	0	
147	2.439	0.018	0	7.0	26	0.434	0.0	0	0	
148	2.454	0.015	0	7.0	27	0.450	0.0	0	0	
149	2.471	0.017	0	7.0	28	0.466	0.0	0	0	
150	2.488	0.017	0	7.0	29	0.483	0.0	0	0	
