sample_num	sample_time	sampling_interval	imaging_frame	frame_time	stimulus_epoch	stim_frame	epoch_time	stim_info1	stim_info2	stim_info3	
1	0.02	0.02	0	1.0	1	0.02	0	0	0	
2	0.034	0.015	0	1.0	2	0.034	0	0	0	
3	0.052	0.017	0	1.0	3	0.052	0	0	0	
4	0.068	0.016	0	1.0	4	0.068	0	0	0	
5	0.087	0.019	0	1.0	5	0.087	0	0	0	
6	0.101	0.014	0	1.0	6	0.101	0	0	0	
7	0.119	0.018	0	1.0	7	0.119	0	0	0	
8	0.134	0.016	0	1.0	8	0.134	0	0	0	
9	0.152	0.017	0	1.0	9	0.152	0	0	0	
10	0.168	0.017	0	1.0	10	0.168	0	0	0	
11	0.187	0.019	0	1.0	11	0.187	0	0	0	
12	0.201	0.014	0	1.0	12	0.201	0	0	0	
13	0.218	0.017	0	1.0	13	0.218	0	0	0	
14	0.235	0.017	0	1.0	14	0.235	0	0	0	
15	0.251	0.016	0	1.0	15	0.251	0	0	0	
16	0.268	0.017	0	1.0	16	0.268	0	0	0	
17	0.29	0.022	0	1.0	17	0.29	0	0	0	
18	0.301	0.011	0	1.0	18	0.301	0	0	0	
19	0.318	0.017	0	1.0	19	0.318	0	0	0	
20	0.335	0.017	0	1.0	20	0.335	0	0	0	
21	0.352	0.017	0	1.0	21	0.352	0	0	0	
22	0.368	0.016	0	1.0	22	0.368	0	0	0	
23	0.385	0.017	0	1.0	23	0.385	0	0	0	
24	0.404	0.019	0	1.0	24	0.404	0	0	0	
25	0.418	0.014	0	1.0	25	0.418	0	0	0	
26	0.435	0.017	0	1.0	26	0.435	0	0	0	
27	0.452	0.017	0	1.0	27	0.452	0	0	0	
28	0.468	0.017	0	1.0	28	0.468	0	0	0	
29	0.485	0.017	0	1.0	29	0.485	0	0	0	
30	0.504	0.019	0	1.0	30	0.504	0	0	0	
31	0.518	0.014	0	1.0	31	0.518	0	0	0	
32	0.535	0.017	0	1.0	32	0.535	0	0	0	
33	0.552	0.017	0	1.0	33	0.552	0	0	0	
34	0.568	0.017	0	1.0	34	0.568	0	0	0	
35	0.585	0.017	0	1.0	35	0.585	0	0	0	
36	0.605	0.019	0	1.0	36	0.605	0	0	0	
37	0.618	0.013	0	1.0	37	0.618	0	0	0	
38	0.635	0.017	0	1.0	38	0.635	0	0	0	
39	0.652	0.017	0	1.0	39	0.652	0	0	0	
40	0.668	0.017	0	1.0	40	0.668	0	0	0	
41	0.685	0.017	0	1.0	41	0.685	0	0	0	
42	0.704	0.019	0	1.0	42	0.704	0	0	0	
43	0.718	0.014	0	1.0	43	0.718	0	0	0	
44	0.735	0.017	0	1.0	44	0.735	0	0	0	
45	0.752	0.017	0	1.0	45	0.752	0	0	0	
46	0.768	0.017	0	1.0	46	0.768	0	0	0	
47	0.785	0.017	0	1.0	47	0.785	0	0	0	
48	0.804	0.018	0	1.0	48	0.804	0	0	0	
49	0.818	0.014	0	1.0	49	0.818	0	0	0	
50	0.835	0.017	0	1.0	50	0.835	0	0	0	
51	0.852	0.017	0	1.0	51	0.852	0	0	0	
