sample_num	sample_time	sampling_interval	imaging_frame	frame_time	stimulus_epoch	stim_frame	epoch_time	stim_info1	stim_info2	stim_info3	
1	0.017	0.017	0	1.0	1	0.017	0	0	0	
2	0.034	0.017	0	1.0	2	0.034	0	0	0	
3	0.05	0.016	0	1.0	3	0.05	0	0	0	
4	0.066	0.016	0	1.0	4	0.066	0	0	0	
5	0.083	0.017	0	1.0	5	0.083	0	0	0	
6	0.099	0.017	0	1.0	6	0.099	0	0	0	
7	0.116	0.017	0	1.0	7	0.116	0	0	0	
8	0.134	0.017	0	1.0	8	0.134	0	0	0	
9	0.15	0.016	0	1.0	9	0.15	0	0	0	
10	0.166	0.017	0	1.0	10	0.166	0	0	0	
11	0.183	0.017	0	1.0	11	0.183	0	0	0	
12	0.2	0.017	0	1.0	12	0.2	0	0	0	
13	0.216	0.016	0	1.0	13	0.216	0	0	0	
14	0.233	0.017	0	1.0	14	0.233	0	0	0	
15	0.25	0.017	0	1.0	15	0.25	0	0	0	
16	0.266	0.016	0	1.0	16	0.266	0	0	0	
17	0.284	0.018	0	1.0	17	0.284	0	0	0	
18	0.3	0.016	0	1.0	18	0.3	0	0	0	
19	0.316	0.017	0	1.0	19	0.316	0	0	0	
20	0.333	0.017	0	1.0	20	0.333	0	0	0	
21	0.35	0.017	0	1.0	21	0.35	0	0	0	
22	0.367	0.017	0	1.0	22	0.367	0	0	0	
23	0.383	0.016	0	1.0	23	0.383	0	0	0	
24	0.4	0.017	0	1.0	24	0.4	0	0	0	
25	0.416	0.016	0	1.0	25	0.416	0	0	0	
26	0.434	0.018	0	1.0	26	0.434	0	0	0	
27	0.45	0.016	0	1.0	27	0.45	0	0	0	
28	0.467	0.017	0	1.0	28	0.467	0	0	0	
29	0.483	0.017	0	1.0	29	0.483	0	0	0	
30	0.5	0.017	0	1.0	30	0.5	0	0	0	
31	0.517	0.017	0	1.0	31	0.517	0	0	0	
32	0.533	0.016	0	1.0	32	0.533	0	0	0	
33	0.55	0.017	0	1.0	33	0.55	0	0	0	
34	0.567	0.017	0	1.0	34	0.567	0	0	0	
35	0.583	0.017	0	1.0	35	0.583	0	0	0	
36	0.601	0.017	0	1.0	36	0.601	0	0	0	
37	0.616	0.016	0	1.0	37	0.616	0	0	0	
38	0.633	0.017	0	1.0	38	0.633	0	0	0	
39	0.65	0.017	0	1.0	39	0.65	0	0	0	
40	0.667	0.017	0	1.0	40	0.667	0	0	0	
41	0.683	0.017	0	1.0	41	0.683	0	0	0	
42	0.7	0.017	0	1.0	42	0.7	0	0	0	
43	0.717	0.017	0	1.0	43	0.717	0	0	0	
44	0.733	0.017	0	1.0	44	0.733	0	0	0	
45	0.75	0.017	0	1.0	45	0.75	0	0	0	
46	0.767	0.016	0	1.0	46	0.767	0	0	0	
47	0.783	0.017	0	1.0	47	0.783	0	0	0	
48	0.8	0.017	0	1.0	48	0.8	0	0	0	
49	0.817	0.017	0	1.0	49	0.817	0	0	0	
50	0.833	0.017	0	1.0	50	0.833	0	0	0	
51	0.851	0.017	0	1.0	51	0.851	0	0	0	
52	0.867	0.016	0	1.0	52	0.867	0	0	0	
53	0.884	0.017	0	1.0	53	0.884	0	0	0	
54	0.9	0.016	0	1.0	54	0.9	0	0	0	
55	0.917	0.017	0	1.0	55	0.917	0	0	0	
56	0.933	0.016	0	1.0	56	0.933	0	0	0	
57	0.949	0.016	0	1.0	57	0.949	0	0	0	
58	0.967	0.018	0	1.0	58	0.967	0	0	0	
59	0.983	0.016	0	1.0	59	0.983	0	0	0	
60	1.001	0.018	0	1.0	60	1.001	0	0	0	
61	1.016	0.016	0	1.0	61	1.016	0	0	0	
62	1.033	0.017	0	1.0	62	1.033	0	0	0	
63	1.05	0.017	0	1.0	63	1.05	0	0	0	
64	1.067	0.017	0	1.0	64	1.067	0	0	0	
65	1.086	0.019	0	1.0	65	1.086	0	0	0	
66	1.1	0.014	0	1.0	66	1.1	0	0	0	
67	1.117	0.017	0	1.0	67	1.117	0	0	0	
68	1.134	0.017	0	1.0	68	1.134	0	0	0	
69	1.15	0.017	0	1.0	69	1.15	0	0	0	
70	1.167	0.016	0	1.0	70	1.167	0	0	0	
71	1.184	0.017	0	1.0	71	1.184	0	0	0	
72	1.2	0.017	0	1.0	72	1.2	0	0	0	
73	1.217	0.016	0	1.0	73	1.217	0	0	0	
74	1.233	0.017	0	1.0	74	1.233	0	0	0	
75	1.25	0.017	0	1.0	75	1.25	0	0	0	
76	1.267	0.017	0	1.0	76	1.267	0	0	0	
77	1.283	0.016	0	1.0	77	1.283	0	0	0	
78	1.3	0.017	0	1.0	78	1.3	0	0	0	
79	1.317	0.016	0	1.0	79	1.317	0	0	0	
80	1.334	0.017	0	1.0	80	1.334	0	0	0	
81	1.35	0.017	0	1.0	81	1.35	0	0	0	
82	1.367	0.016	0	1.0	82	1.367	0	0	0	
83	1.383	0.017	0	1.0	83	1.383	0	0	0	
84	1.4	0.017	0	1.0	84	1.4	0	0	0	
85	1.417	0.017	0	1.0	85	1.417	0	0	0	
86	1.433	0.016	0	1.0	86	1.433	0	0	0	
87	1.451	0.018	0	1.0	87	1.451	0	0	0	
88	1.466	0.016	0	1.0	88	1.466	0	0	0	
89	1.484	0.018	0	1.0	89	1.484	0	0	0	
90	1.5	0.016	0	1.0	90	1.5	0	0	0	
91	1.517	0.017	0	1.0	91	1.517	0	0	0	
92	1.534	0.017	0	1.0	92	1.534	0	0	0	
93	1.55	0.017	0	1.0	93	1.55	0	0	0	
94	1.567	0.017	0	1.0	94	1.567	0	0	0	
95	1.584	0.017	0	1.0	95	1.584	0	0	0	
96	1.6	0.016	0	1.0	96	1.6	0	0	0	
97	1.617	0.017	0	1.0	97	1.617	0	0	0	
98	1.633	0.016	0	1.0	98	1.633	0	0	0	
99	1.65	0.017	0	1.0	99	1.65	0	0	0	
100	1.667	0.017	0	1.0	100	1.667	0	0	0	
101	1.684	0.017	0	1.0	101	1.684	0	0	0	
102	1.7	0.016	0	1.0	102	1.7	0	0	0	
103	1.717	0.017	0	1.0	103	1.717	0	0	0	
104	1.734	0.017	0	1.0	104	1.734	0	0	0	
105	1.75	0.017	0	1.0	105	1.75	0	0	0	
106	1.767	0.017	0	1.0	106	1.767	0	0	0	
107	1.784	0.017	0	1.0	107	1.784	0	0	0	
108	1.8	0.017	0	1.0	108	1.8	0	0	0	
109	1.817	0.017	0	1.0	109	1.817	0	0	0	
110	1.834	0.017	0	1.0	110	1.834	0	0	0	
111	1.851	0.017	0	1.0	111	1.851	0	0	0	
112	1.867	0.016	0	1.0	112	1.867	0	0	0	
113	1.884	0.017	0	1.0	113	1.884	0	0	0	
114	1.9	0.017	0	1.0	114	1.9	0	0	0	
115	1.917	0.017	0	1.0	115	1.917	0	0	0	
116	1.934	0.017	0	1.0	116	1.934	0	0	0	
117	1.951	0.017	0	1.0	117	1.951	0	0	0	
118	1.968	0.017	0	1.0	118	1.968	0	0	0	
119	1.984	0.015	0	1.0	119	1.984	0	0	0	
120	2.0	0.017	0	1.0	120	2.0	0	0	0	
121	2.017	0.017	0	1.0	121	2.018	0	0	0	
122	2.033	0.016	0	1.0	122	2.033	0	0	0	
123	2.051	0.017	0	1.0	123	2.051	0	0	0	
124	2.067	0.016	0	1.0	124	2.067	0	0	0	
125	2.084	0.017	0	1.0	125	2.084	0	0	0	
126	2.1	0.017	0	1.0	126	2.1	0	0	0	
127	2.117	0.017	0	1.0	127	2.117	0	0	0	
128	2.134	0.017	0	1.0	128	2.134	0	0	0	
129	2.15	0.017	0	1.0	129	2.15	0	0	0	
130	2.167	0.017	0	1.0	130	2.167	0	0	0	
131	2.183	0.016	0	1.0	131	2.183	0	0	0	
132	2.201	0.018	0	1.0	132	2.201	0	0	0	
133	2.217	0.016	0	1.0	133	2.217	0	0	0	
134	2.234	0.017	0	1.0	134	2.234	0	0	0	
135	2.251	0.017	0	1.0	135	2.251	0	0	0	
136	2.267	0.017	0	1.0	136	2.267	0	0	0	
137	2.284	0.016	0	1.0	137	2.284	0	0	0	
138	2.3	0.017	0	1.0	138	2.3	0	0	0	
139	2.317	0.017	0	1.0	139	2.317	0	0	0	
140	2.334	0.017	0	1.0	140	2.334	0	0	0	
141	2.351	0.017	0	1.0	141	2.351	0	0	0	
142	2.367	0.017	0	1.0	142	2.367	0	0	0	
143	2.384	0.017	0	1.0	143	2.384	0	0	0	
