sample_num	sample_time	sampling_interval	imaging_frame	frame_time	stimulus_epoch	stim_frame	epoch_time	stim_info1	stim_info2	stim_info3	
1	0.026	0.026	0	1.0	1	0.026	0	0	0	
2	0.046	0.02	0	1.0	2	0.046	0	0	0	
3	0.061	0.015	0	1.0	3	0.061	0	0	0	
4	0.078	0.017	0	1.0	4	0.078	0	0	0	
5	0.094	0.016	0	1.0	5	0.094	0	0	0	
6	0.111	0.017	0	1.0	6	0.111	0	0	0	
7	0.128	0.017	0	1.0	7	0.128	0	0	0	
8	0.144	0.016	0	1.0	8	0.144	0	0	0	
9	0.162	0.018	0	1.0	9	0.162	0	0	0	
10	0.178	0.016	0	1.0	10	0.178	0	0	0	
11	0.196	0.018	0	1.0	11	0.196	0	0	0	
12	0.211	0.015	0	1.0	12	0.211	0	0	0	
13	0.228	0.017	0	1.0	13	0.228	0	0	0	
14	0.245	0.016	0	1.0	14	0.245	0	0	0	
15	0.261	0.017	0	1.0	15	0.261	0	0	0	
16	0.278	0.017	0	1.0	16	0.278	0	0	0	
17	0.295	0.017	0	1.0	17	0.295	0	0	0	
18	0.311	0.017	0	1.0	18	0.312	0	0	0	
19	0.328	0.017	0	1.0	19	0.328	0	0	0	
20	0.344	0.016	0	1.0	20	0.344	0	0	0	
21	0.362	0.018	0	1.0	21	0.362	0	0	0	
22	0.378	0.016	0	1.0	22	0.378	0	0	0	
23	0.395	0.017	0	1.0	23	0.395	0	0	0	
24	0.412	0.017	0	1.0	24	0.412	0	0	0	
25	0.428	0.017	0	1.0	25	0.428	0	0	0	
26	0.445	0.017	0	1.0	26	0.445	0	0	0	
27	0.462	0.017	0	1.0	27	0.462	0	0	0	
28	0.478	0.017	0	1.0	28	0.478	0	0	0	
29	0.495	0.016	0	1.0	29	0.495	0	0	0	
30	0.512	0.017	0	1.0	30	0.512	0	0	0	
31	0.528	0.016	0	1.0	31	0.528	0	0	0	
32	0.547	0.019	0	1.0	32	0.547	0	0	0	
33	0.563	0.016	0	1.0	33	0.563	0	0	0	
34	0.58	0.017	0	1.0	34	0.58	0	0	0	
35	0.596	0.016	0	1.0	35	0.596	0	0	0	
36	0.613	0.016	0	1.0	36	0.613	0	0	0	
37	0.63	0.017	0	1.0	37	0.63	0	0	0	
38	0.646	0.017	0	1.0	38	0.646	0	0	0	
39	0.664	0.018	0	1.0	39	0.664	0	0	0	
40	0.68	0.016	0	1.0	40	0.68	0	0	0	
41	0.697	0.018	0	1.0	41	0.697	0	0	0	
42	0.713	0.016	0	1.0	42	0.713	0	0	0	
43	0.73	0.017	0	1.0	43	0.73	0	0	0	
44	0.746	0.016	0	1.0	44	0.746	0	0	0	
45	0.764	0.018	0	1.0	45	0.764	0	0	0	
46	0.78	0.016	0	1.0	46	0.78	0	0	0	
47	0.797	0.017	0	1.0	47	0.797	0	0	0	
48	0.813	0.016	0	1.0	48	0.813	0	0	0	
49	0.83	0.017	0	1.0	49	0.83	0	0	0	
50	0.847	0.017	0	1.0	50	0.847	0	0	0	
51	0.863	0.016	0	1.0	51	0.863	0	0	0	
52	0.88	0.017	0	1.0	52	0.88	0	0	0	
53	0.896	0.016	0	1.0	53	0.896	0	0	0	
54	0.913	0.017	0	1.0	54	0.913	0	0	0	
55	0.93	0.017	0	1.0	55	0.93	0	0	0	
56	0.949	0.019	0	1.0	56	0.949	0	0	0	
57	0.963	0.014	0	1.0	57	0.963	0	0	0	
58	0.98	0.017	0	1.0	58	0.98	0	0	0	
59	0.996	0.017	0	1.0	59	0.997	0	0	0	
60	1.013	0.017	0	1.0	60	1.013	0	0	0	
61	1.029	0.016	0	1.0	61	1.029	0	0	0	
62	1.047	0.017	0	1.0	62	1.047	0	0	0	
63	1.063	0.017	0	1.0	63	1.063	0	0	0	
64	1.079	0.016	0	1.0	64	1.079	0	0	0	
65	1.099	0.02	0	1.0	65	1.099	0	0	0	
66	1.113	0.013	0	1.0	66	1.113	0	0	0	
67	1.13	0.017	0	1.0	67	1.13	0	0	0	
68	1.147	0.017	0	1.0	68	1.147	0	0	0	
69	1.163	0.017	0	1.0	69	1.163	0	0	0	
70	1.18	0.017	0	1.0	70	1.18	0	0	0	
71	1.196	0.016	0	1.0	71	1.196	0	0	0	
72	1.213	0.017	0	1.0	72	1.213	0	0	0	
73	1.23	0.016	0	1.0	73	1.23	0	0	0	
74	1.247	0.017	0	1.0	74	1.247	0	0	0	
75	1.263	0.016	0	1.0	75	1.263	0	0	0	
76	1.28	0.017	0	1.0	76	1.28	0	0	0	
77	1.296	0.016	0	1.0	77	1.296	0	0	0	
78	1.313	0.017	0	1.0	78	1.313	0	0	0	
79	1.33	0.017	0	1.0	79	1.33	0	0	0	
80	1.347	0.017	0	1.0	80	1.347	0	0	0	
81	1.364	0.017	0	1.0	81	1.364	0	0	0	
82	1.38	0.016	0	1.0	82	1.38	0	0	0	
83	1.397	0.017	0	1.0	83	1.397	0	0	0	
84	1.413	0.017	0	1.0	84	1.413	0	0	0	
85	1.43	0.017	0	1.0	85	1.43	0	0	0	
86	1.446	0.016	0	1.0	86	1.446	0	0	0	
87	1.464	0.018	0	1.0	87	1.464	0	0	0	
88	1.48	0.016	0	1.0	88	1.48	0	0	0	
89	1.497	0.017	0	1.0	89	1.497	0	0	0	
90	1.513	0.016	0	1.0	90	1.513	0	0	0	
91	1.53	0.017	0	1.0	91	1.53	0	0	0	
92	1.547	0.017	0	1.0	92	1.547	0	0	0	
