sample_num	sample_time	sampling_interval	imaging_frame	frame_time	stimulus_epoch	stim_frame	epoch_time	stim_info1	stim_info2	stim_info3	
1	0.01	0.01	0	1.0	1	0.01	0	0	0	
2	0.012	0.002	0	1.0	2	0.012	0	0	0	
3	0.013	0.001	0	1.0	3	0.013	0	0	0	
4	0.014	0.001	0	1.0	4	0.014	0	0	0	
5	0.015	0.001	0	1.0	5	0.015	0	0	0	
6	0.017	0.002	0	1.0	6	0.017	0	0	0	
7	0.018	0.001	0	1.0	7	0.018	0	0	0	
8	0.02	0.001	0	1.0	8	0.02	0	0	0	
9	0.021	0.001	0	1.0	9	0.021	0	0	0	
10	0.022	0.001	0	1.0	10	0.022	0	0	0	
11	0.024	0.002	0	1.0	11	0.024	0	0	0	
12	0.038	0.015	0	1.0	12	0.038	0	0	0	
13	0.04	0.002	0	1.0	13	0.04	0	0	0	
14	0.057	0.017	0	1.0	14	0.057	0	0	0	
15	0.059	0.002	0	1.0	15	0.059	0	0	0	
16	0.072	0.013	0	1.0	16	0.072	0	0	0	
17	0.074	0.002	0	1.0	17	0.074	0	0	0	
18	0.089	0.015	0	1.0	18	0.089	0	0	0	
19	0.091	0.002	0	1.0	19	0.091	0	0	0	
20	0.105	0.014	0	1.0	20	0.105	0	0	0	
21	0.108	0.003	0	1.0	21	0.108	0	0	0	
22	0.122	0.014	0	1.0	22	0.122	0	0	0	
23	0.124	0.002	0	1.0	23	0.124	0	0	0	
24	0.139	0.015	0	1.0	24	0.139	0	0	0	
25	0.141	0.002	0	1.0	25	0.141	0	0	0	
26	0.155	0.014	0	1.0	26	0.155	0	0	0	
27	0.158	0.003	0	1.0	27	0.158	0	0	0	
28	0.172	0.014	0	1.0	28	0.172	0	0	0	
29	0.175	0.003	0	1.0	29	0.175	0	0	0	
30	0.188	0.013	0	1.0	30	0.188	0	0	0	
31	0.191	0.002	0	1.0	31	0.191	0	0	0	
32	0.205	0.015	0	1.0	32	0.205	0	0	0	
33	0.208	0.002	0	1.0	33	0.208	0	0	0	
34	0.222	0.014	0	1.0	34	0.222	0	0	0	
35	0.225	0.003	0	1.0	35	0.225	0	0	0	
36	0.238	0.014	0	1.0	36	0.238	0	0	0	
37	0.241	0.003	0	1.0	37	0.241	0	0	0	
38	0.255	0.014	0	1.0	38	0.255	0	0	0	
39	0.258	0.003	0	1.0	39	0.258	0	0	0	
40	0.272	0.014	0	1.0	40	0.272	0	0	0	
41	0.274	0.002	0	1.0	41	0.274	0	0	0	
42	0.289	0.015	0	1.0	42	0.289	0	0	0	
43	0.291	0.002	0	1.0	43	0.291	0	0	0	
44	0.305	0.014	0	1.0	44	0.305	0	0	0	
45	0.308	0.003	0	1.0	45	0.308	0	0	0	
46	0.322	0.014	0	1.0	46	0.322	0	0	0	
47	0.324	0.003	0	1.0	47	0.324	0	0	0	
48	0.338	0.014	0	1.0	48	0.338	0	0	0	
49	0.341	0.003	0	1.0	49	0.341	0	0	0	
50	0.355	0.014	0	1.0	50	0.355	0	0	0	
51	0.358	0.002	0	1.0	51	0.358	0	0	0	
52	0.372	0.014	0	1.0	52	0.372	0	0	0	
53	0.374	0.002	0	1.0	53	0.374	0	0	0	
54	0.389	0.015	0	1.0	54	0.389	0	0	0	
55	0.391	0.002	0	1.0	55	0.391	0	0	0	
56	0.405	0.014	0	1.0	56	0.405	0	0	0	
57	0.408	0.003	0	1.0	57	0.408	0	0	0	
58	0.422	0.014	0	1.0	58	0.422	0	0	0	
59	0.424	0.002	0	1.0	59	0.424	0	0	0	
60	0.438	0.014	0	1.0	60	0.438	0	0	0	
61	0.441	0.003	0	1.0	61	0.441	0	0	0	
62	0.455	0.014	0	1.0	62	0.455	0	0	0	
63	0.458	0.003	0	1.0	63	0.458	0	0	0	
64	0.472	0.014	0	1.0	64	0.472	0	0	0	
65	0.474	0.002	0	1.0	65	0.474	0	0	0	
66	0.488	0.014	0	1.0	66	0.488	0	0	0	
67	0.491	0.002	0	1.0	67	0.491	0	0	0	
68	0.505	0.015	0	1.0	68	0.505	0	0	0	
69	0.508	0.002	0	1.0	69	0.508	0	0	0	
70	0.522	0.014	0	1.0	70	0.522	0	0	0	
71	0.524	0.003	0	1.0	71	0.524	0	0	0	
72	0.538	0.014	0	1.0	72	0.538	0	0	0	
73	0.541	0.003	0	1.0	73	0.541	0	0	0	
74	0.555	0.014	0	1.0	74	0.555	0	0	0	
75	0.562	0.007	0	1.0	75	0.562	0	0	0	
76	0.572	0.01	0	1.0	76	0.572	0	0	0	
77	0.574	0.002	0	1.0	77	0.574	0	0	0	
78	0.589	0.015	0	1.0	78	0.589	0	0	0	
79	0.591	0.002	0	1.0	79	0.591	0	0	0	
80	0.605	0.014	0	1.0	80	0.605	0	0	0	
81	0.607	0.002	0	1.0	81	0.607	0	0	0	
82	0.622	0.015	0	1.0	82	0.622	0	0	0	
83	0.624	0.002	0	1.0	83	0.625	0	0	0	
84	0.638	0.014	0	1.0	84	0.638	0	0	0	
85	0.641	0.002	0	1.0	85	0.641	0	0	0	
86	0.655	0.014	0	1.0	86	0.655	0	0	0	
87	0.658	0.003	0	1.0	87	0.658	0	0	0	
88	0.672	0.014	0	1.0	88	0.672	0	0	0	
89	0.674	0.002	0	1.0	89	0.674	0	0	0	
90	0.688	0.014	0	1.0	90	0.688	0	0	0	
91	0.691	0.003	0	1.0	91	0.691	0	0	0	
92	0.705	0.014	0	1.0	92	0.705	0	0	0	
93	0.708	0.003	0	1.0	93	0.708	0	0	0	
94	0.722	0.014	0	1.0	94	0.722	0	0	0	
95	0.724	0.002	0	1.0	95	0.724	0	0	0	
96	0.739	0.015	0	1.0	96	0.739	0	0	0	
97	0.742	0.003	0	1.0	97	0.742	0	0	0	
98	0.755	0.013	0	1.0	98	0.755	0	0	0	
99	0.758	0.002	0	1.0	99	0.758	0	0	0	
100	0.772	0.014	0	1.0	100	0.772	0	0	0	
101	0.774	0.003	0	1.0	101	0.774	0	0	0	
102	0.788	0.014	0	1.0	102	0.788	0	0	0	
103	0.79	0.002	0	1.0	103	0.79	0	0	0	
104	0.805	0.015	0	1.0	104	0.805	0	0	0	
105	0.808	0.003	0	1.0	105	0.808	0	0	0	
106	0.822	0.014	0	1.0	106	0.822	0	0	0	
107	0.824	0.003	0	1.0	107	0.824	0	0	0	
108	0.838	0.014	0	1.0	108	0.838	0	0	0	
109	0.841	0.002	0	1.0	109	0.841	0	0	0	
110	0.855	0.015	0	1.0	110	0.855	0	0	0	
111	0.858	0.002	0	1.0	111	0.858	0	0	0	
112	0.872	0.014	0	1.0	112	0.872	0	0	0	
113	0.874	0.002	0	1.0	113	0.874	0	0	0	
114	0.888	0.014	0	1.0	114	0.888	0	0	0	
115	0.891	0.003	0	1.0	115	0.891	0	0	0	
116	0.905	0.014	0	1.0	116	0.905	0	0	0	
117	0.908	0.003	0	1.0	117	0.908	0	0	0	
118	0.922	0.014	0	1.0	118	0.922	0	0	0	
119	0.924	0.002	0	1.0	119	0.924	0	0	0	
120	0.939	0.015	0	1.0	120	0.939	0	0	0	
121	0.941	0.002	0	1.0	121	0.941	0	0	0	
122	0.955	0.014	0	1.0	122	0.955	0	0	0	
123	0.957	0.002	0	1.0	123	0.957	0	0	0	
124	0.972	0.015	0	1.0	124	0.972	0	0	0	
125	0.974	0.002	0	1.0	125	0.974	0	0	0	
126	0.989	0.014	0	1.0	126	0.989	0	0	0	
127	0.991	0.002	0	1.0	127	0.991	0	0	0	
128	1.005	0.014	0	1.0	128	1.005	0	0	0	
129	1.008	0.003	0	1.0	129	1.008	0	0	0	
130	1.022	0.014	0	1.0	130	1.022	0	0	0	
131	1.024	0.002	0	1.0	131	1.024	0	0	0	
132	1.039	0.015	0	1.0	132	1.039	0	0	0	
