sample_num	sample_time	sampling_interval	imaging_frame	frame_time	stimulus_epoch	stim_frame	epoch_time	stim_info1	stim_info2	stim_info3	
1	0.043	0.043	0	1.0	1	0.043	0	0	0	
2	0.058	0.014	0	1.0	2	0.058	0	0	0	
3	0.075	0.017	0	1.0	3	0.075	0	0	0	
4	0.091	0.017	0	1.0	4	0.091	0	0	0	
5	0.108	0.017	0	1.0	5	0.108	0	0	0	
6	0.125	0.017	0	1.0	6	0.125	0	0	0	
7	0.141	0.017	0	1.0	7	0.141	0	0	0	
8	0.158	0.017	0	1.0	8	0.158	0	0	0	
9	0.175	0.017	0	1.0	9	0.175	0	0	0	
10	0.191	0.017	0	1.0	10	0.191	0	0	0	
11	0.208	0.017	0	1.0	11	0.208	0	0	0	
12	0.225	0.017	0	1.0	12	0.225	0	0	0	
13	0.241	0.017	0	1.0	13	0.241	0	0	0	
14	0.258	0.017	0	1.0	14	0.258	0	0	0	
15	0.275	0.017	0	1.0	15	0.275	0	0	0	
16	0.291	0.017	0	1.0	16	0.291	0	0	0	
17	0.308	0.017	0	1.0	17	0.308	0	0	0	
18	0.325	0.017	0	1.0	18	0.325	0	0	0	
19	0.341	0.017	0	1.0	19	0.341	0	0	0	
20	0.358	0.017	0	1.0	20	0.358	0	0	0	
21	0.375	0.017	0	1.0	21	0.375	0	0	0	
22	0.391	0.016	0	1.0	22	0.391	0	0	0	
23	0.408	0.017	0	1.0	23	0.408	0	0	0	
24	0.424	0.016	0	1.0	24	0.424	0	0	0	
25	0.441	0.017	0	1.0	25	0.441	0	0	0	
26	0.458	0.017	0	1.0	26	0.458	0	0	0	
27	0.475	0.017	0	1.0	27	0.475	0	0	0	
28	0.491	0.016	0	1.0	28	0.491	0	0	0	
29	0.508	0.017	0	1.0	29	0.508	0	0	0	
30	0.525	0.017	0	1.0	30	0.525	0	0	0	
31	0.542	0.017	0	1.0	31	0.542	0	0	0	
32	0.558	0.016	0	1.0	32	0.558	0	0	0	
33	0.575	0.017	0	1.0	33	0.575	0	0	0	
34	0.591	0.016	0	1.0	34	0.591	0	0	0	
35	0.608	0.017	0	1.0	35	0.608	0	0	0	
36	0.625	0.017	0	1.0	36	0.625	0	0	0	
37	0.641	0.016	0	1.0	37	0.641	0	0	0	
38	0.658	0.017	0	1.0	38	0.658	0	0	0	
39	0.675	0.017	0	1.0	39	0.675	0	0	0	
40	0.691	0.017	0	1.0	40	0.691	0	0	0	
41	0.708	0.017	0	1.0	41	0.708	0	0	0	
42	0.725	0.017	0	1.0	42	0.725	0	0	0	
43	0.742	0.017	0	1.0	43	0.742	0	0	0	
44	0.758	0.016	0	1.0	44	0.758	0	0	0	
45	0.775	0.017	0	1.0	45	0.775	0	0	0	
46	0.791	0.017	0	1.0	46	0.791	0	0	0	
47	0.808	0.017	0	1.0	47	0.808	0	0	0	
48	0.825	0.017	0	1.0	48	0.825	0	0	0	
49	0.841	0.016	0	1.0	49	0.841	0	0	0	
50	0.858	0.017	0	1.0	50	0.858	0	0	0	
51	0.875	0.017	0	1.0	51	0.875	0	0	0	
52	0.892	0.017	0	1.0	52	0.892	0	0	0	
53	0.908	0.017	0	1.0	53	0.908	0	0	0	
54	0.925	0.017	0	1.0	54	0.925	0	0	0	
55	0.941	0.016	0	1.0	55	0.941	0	0	0	
56	0.958	0.017	0	1.0	56	0.958	0	0	0	
57	0.975	0.017	0	1.0	57	0.975	0	0	0	
58	0.992	0.017	0	1.0	58	0.992	0	0	0	
59	1.009	0.017	0	1.0	59	1.009	0	0	0	
60	1.025	0.016	0	1.0	60	1.025	0	0	0	
61	1.042	0.018	0	1.0	61	1.042	0	0	0	
62	1.058	0.016	0	1.0	62	1.058	0	0	0	
63	1.075	0.017	0	1.0	63	1.075	0	0	0	
64	1.093	0.018	0	1.0	64	1.093	0	0	0	
65	1.108	0.014	0	1.0	65	1.108	0	0	0	
66	1.125	0.018	0	1.0	66	1.125	0	0	0	
67	1.141	0.016	0	1.0	67	1.141	0	0	0	
68	1.158	0.017	0	1.0	68	1.158	0	0	0	
69	1.175	0.016	0	1.0	69	1.175	0	0	0	
70	1.192	0.017	0	1.0	70	1.192	0	0	0	
71	1.208	0.016	0	1.0	71	1.208	0	0	0	
72	1.225	0.017	0	1.0	72	1.225	0	0	0	
73	1.242	0.017	0	1.0	73	1.242	0	0	0	
74	1.258	0.016	0	1.0	74	1.258	0	0	0	
75	1.275	0.017	0	1.0	75	1.275	0	0	0	
76	1.291	0.017	0	1.0	76	1.291	0	0	0	
77	1.308	0.016	0	1.0	77	1.308	0	0	0	
78	1.325	0.017	0	1.0	78	1.325	0	0	0	
79	1.342	0.017	0	1.0	79	1.342	0	0	0	
80	1.359	0.017	0	1.0	80	1.359	0	0	0	
81	1.375	0.016	0	1.0	81	1.375	0	0	0	
82	1.392	0.017	0	1.0	82	1.392	0	0	0	
83	1.408	0.016	0	1.0	83	1.408	0	0	0	
84	1.425	0.017	0	1.0	84	1.425	0	0	0	
85	1.442	0.017	0	1.0	85	1.442	0	0	0	
86	1.458	0.017	0	1.0	86	1.458	0	0	0	
87	1.475	0.017	0	1.0	87	1.475	0	0	0	
88	1.492	0.017	0	1.0	88	1.492	0	0	0	
89	1.508	0.017	0	1.0	89	1.508	0	0	0	
90	1.525	0.017	0	1.0	90	1.525	0	0	0	
91	1.542	0.017	0	1.0	91	1.542	0	0	0	
92	1.558	0.017	0	1.0	92	1.558	0	0	0	
93	1.575	0.016	0	1.0	93	1.575	0	0	0	
94	1.592	0.017	0	1.0	94	1.592	0	0	0	
95	1.608	0.017	0	1.0	95	1.608	0	0	0	
96	1.625	0.017	0	1.0	96	1.625	0	0	0	
97	1.642	0.017	0	1.0	97	1.642	0	0	0	
98	1.658	0.017	0	1.0	98	1.658	0	0	0	
99	1.675	0.017	0	1.0	99	1.675	0	0	0	
100	1.692	0.017	0	1.0	100	1.692	0	0	0	
101	1.708	0.017	0	1.0	101	1.708	0	0	0	
102	1.725	0.017	0	1.0	102	1.725	0	0	0	
103	1.742	0.017	0	1.0	103	1.742	0	0	0	
104	1.759	0.017	0	1.0	104	1.759	0	0	0	
105	1.775	0.016	0	1.0	105	1.775	0	0	0	
106	1.792	0.016	0	1.0	106	1.792	0	0	0	
107	1.808	0.017	0	1.0	107	1.808	0	0	0	
108	1.825	0.017	0	1.0	108	1.825	0	0	0	
109	1.841	0.016	0	1.0	109	1.842	0	0	0	
110	1.859	0.017	0	1.0	110	1.859	0	0	0	
111	1.875	0.016	0	1.0	111	1.875	0	0	0	
112	1.892	0.017	0	1.0	112	1.892	0	0	0	
113	1.908	0.016	0	1.0	113	1.908	0	0	0	
114	1.925	0.017	0	1.0	114	1.925	0	0	0	
115	1.942	0.017	0	1.0	115	1.942	0	0	0	
116	1.959	0.017	0	1.0	116	1.959	0	0	0	
117	1.975	0.017	0	1.0	117	1.975	0	0	0	
118	1.991	0.016	0	1.0	118	1.991	0	0	0	
119	2.009	0.018	0	1.0	119	2.009	0	0	0	
120	2.025	0.015	0	1.0	120	2.025	0	0	0	
121	2.042	0.017	0	1.0	121	2.042	0	0	0	
122	2.059	0.017	0	1.0	122	2.059	0	0	0	
123	2.075	0.017	0	1.0	123	2.075	0	0	0	
124	2.092	0.017	0	1.0	124	2.092	0	0	0	
125	2.109	0.017	0	1.0	125	2.109	0	0	0	
126	2.125	0.017	0	1.0	126	2.125	0	0	0	
127	2.142	0.017	0	1.0	127	2.142	0	0	0	
128	2.158	0.016	0	1.0	128	2.158	0	0	0	
129	2.175	0.017	0	1.0	129	2.175	0	0	0	
130	2.197	0.022	0	1.0	130	2.197	0	0	0	
131	2.208	0.011	0	1.0	131	2.208	0	0	0	
132	2.225	0.017	0	1.0	132	2.225	0	0	0	
133	2.242	0.016	0	1.0	133	2.242	0	0	0	
134	2.259	0.017	0	1.0	134	2.259	0	0	0	
135	2.275	0.016	0	1.0	135	2.275	0	0	0	
136	2.292	0.017	0	1.0	136	2.292	0	0	0	
137	2.309	0.017	0	1.0	137	2.309	0	0	0	
138	2.325	0.016	0	1.0	138	2.325	0	0	0	
139	2.342	0.017	0	1.0	139	2.342	0	0	0	
140	2.359	0.017	0	1.0	140	2.359	0	0	0	
141	2.375	0.016	0	1.0	141	2.375	0	0	0	
142	2.392	0.017	0	1.0	142	2.392	0	0	0	
143	2.409	0.017	0	1.0	143	2.409	0	0	0	
144	2.426	0.017	0	1.0	144	2.426	0	0	0	
145	2.442	0.016	0	1.0	145	2.442	0	0	0	
146	2.459	0.017	0	1.0	146	2.459	0	0	0	
147	2.475	0.016	0	1.0	147	2.475	0	0	0	
148	2.492	0.017	0	1.0	148	2.492	0	0	0	
149	2.509	0.017	0	1.0	149	2.509	0	0	0	
150	2.525	0.017	0	1.0	150	2.525	0	0	0	
151	2.542	0.017	0	1.0	151	2.542	0	0	0	
152	2.559	0.017	0	1.0	152	2.559	0	0	0	
153	2.576	0.017	0	1.0	153	2.576	0	0	0	
154	2.592	0.016	0	1.0	154	2.592	0	0	0	
155	2.609	0.017	0	1.0	155	2.609	0	0	0	
156	2.625	0.017	0	1.0	156	2.625	0	0	0	
157	2.642	0.017	0	1.0	157	2.642	0	0	0	
158	2.659	0.017	0	1.0	158	2.659	0	0	0	
159	2.675	0.017	0	1.0	159	2.675	0	0	0	
160	2.692	0.017	0	1.0	160	2.692	0	0	0	
161	2.709	0.017	0	1.0	161	2.709	0	0	0	
162	2.726	0.017	0	1.0	162	2.726	0	0	0	
163	2.742	0.017	0	1.0	163	2.742	0	0	0	
164	2.759	0.017	0	1.0	164	2.759	0	0	0	
165	2.775	0.016	0	1.0	165	2.775	0	0	0	
166	2.792	0.017	0	1.0	166	2.792	0	0	0	
167	2.809	0.017	0	1.0	167	2.809	0	0	0	
168	2.826	0.017	0	1.0	168	2.826	0	0	0	
169	2.842	0.017	0	1.0	169	2.842	0	0	0	
170	2.859	0.017	0	1.0	170	2.859	0	0	0	
171	2.876	0.017	0	1.0	171	2.876	0	0	0	
172	2.892	0.017	0	1.0	172	2.892	0	0	0	
173	2.908	0.016	0	1.0	173	2.908	0	0	0	
174	2.926	0.018	0	1.0	174	2.926	0	0	0	
175	2.942	0.016	0	1.0	175	2.942	0	0	0	
176	2.959	0.017	0	1.0	176	2.959	0	0	0	
177	2.976	0.017	0	1.0	177	2.976	0	0	0	
178	2.992	0.017	0	1.0	178	2.992	0	0	0	
179	3.009	0.017	0	1.0	179	3.009	0	0	0	
180	3.026	0.017	0	1.0	180	3.026	0	0	0	
181	3.042	0.017	0	1.0	181	3.042	0	0	0	
182	3.059	0.017	0	1.0	182	3.059	0	0	0	
183	3.076	0.017	0	1.0	183	3.076	0	0	0	
184	3.092	0.016	0	1.0	184	3.092	0	0	0	
185	3.109	0.017	0	1.0	185	3.109	0	0	0	
186	3.126	0.017	0	1.0	186	3.126	0	0	0	
187	3.142	0.017	0	1.0	187	3.142	0	0	0	
188	3.159	0.017	0	1.0	188	3.159	0	0	0	
189	3.176	0.017	0	1.0	189	3.176	0	0	0	
190	3.193	0.017	0	1.0	190	3.193	0	0	0	
191	3.209	0.016	0	1.0	191	3.209	0	0	0	
192	3.226	0.018	0	1.0	192	3.226	0	0	0	
193	3.242	0.016	0	1.0	193	3.242	0	0	0	
194	3.259	0.017	0	1.0	194	3.259	0	0	0	
195	3.276	0.017	0	1.0	195	3.276	0	0	0	
196	3.292	0.016	0	1.0	196	3.292	0	0	0	
197	3.309	0.017	0	1.0	197	3.309	0	0	0	
198	3.326	0.017	0	1.0	198	3.326	0	0	0	
199	3.342	0.017	0	1.0	199	3.342	0	0	0	
200	3.359	0.017	0	1.0	200	3.359	0	0	0	
201	3.376	0.017	0	1.0	201	3.376	0	0	0	
202	3.393	0.017	0	1.0	202	3.393	0	0	0	
203	3.409	0.016	0	1.0	203	3.409	0	0	0	
204	3.426	0.018	0	1.0	204	3.426	0	0	0	
205	3.442	0.016	0	1.0	205	3.442	0	0	0	
206	3.459	0.017	0	1.0	206	3.459	0	0	0	
207	3.478	0.019	0	1.0	207	3.478	0	0	0	
208	3.494	0.016	0	1.0	208	3.494	0	0	0	
209	3.511	0.017	0	1.0	209	3.511	0	0	0	
210	3.528	0.017	0	1.0	210	3.528	0	0	0	
211	3.544	0.017	0	1.0	211	3.544	0	0	0	
212	3.561	0.017	0	1.0	212	3.561	0	0	0	
213	3.578	0.017	0	1.0	213	3.578	0	0	0	
214	3.594	0.017	0	1.0	214	3.594	0	0	0	
215	3.611	0.016	0	1.0	215	3.611	0	0	0	
216	3.628	0.017	0	1.0	216	3.628	0	0	0	
217	3.644	0.017	0	1.0	217	3.644	0	0	0	
218	3.661	0.016	0	1.0	218	3.661	0	0	0	
219	3.677	0.017	0	1.0	219	3.677	0	0	0	
220	3.694	0.017	0	1.0	220	3.694	0	0	0	
221	3.711	0.016	0	1.0	221	3.711	0	0	0	
222	3.728	0.018	0	1.0	222	3.728	0	0	0	
223	3.744	0.016	0	1.0	223	3.744	0	0	0	
224	3.761	0.017	0	1.0	224	3.761	0	0	0	
225	3.777	0.016	0	1.0	225	3.777	0	0	0	
226	3.794	0.017	0	1.0	226	3.794	0	0	0	
227	3.811	0.016	0	1.0	227	3.811	0	0	0	
228	3.828	0.017	0	1.0	228	3.828	0	0	0	
229	3.844	0.017	0	1.0	229	3.844	0	0	0	
230	3.861	0.016	0	1.0	230	3.861	0	0	0	
231	3.878	0.017	0	1.0	231	3.878	0	0	0	
232	3.894	0.017	0	1.0	232	3.894	0	0	0	
233	3.911	0.017	0	1.0	233	3.911	0	0	0	
234	3.928	0.017	0	1.0	234	3.928	0	0	0	
235	3.944	0.016	0	1.0	235	3.944	0	0	0	
236	3.961	0.017	0	1.0	236	3.961	0	0	0	
237	3.978	0.017	0	1.0	237	3.978	0	0	0	
238	3.995	0.017	0	1.0	238	3.995	0	0	0	
239	4.011	0.016	0	1.0	239	4.011	0	0	0	
240	4.03	0.019	0	15.0	1	0.019	[0.03333333 0.03333333]	0	0	
241	4.044	0.014	0	15.0	2	0.033	[0.05 0.05]	0	0	
242	4.06	0.017	0	15.0	3	0.05	[0.06666667 0.06666667]	0	0	
243	4.077	0.017	0	15.0	4	0.066	[0.08333333 0.08333333]	0	0	
244	4.094	0.017	0	15.0	5	0.083	[0.1 0.1]	0	0	
245	4.111	0.017	0	15.0	6	0.1	[0.11666667 0.11666667]	0	0	
246	4.128	0.017	0	15.0	7	0.117	[0.13333333 0.13333333]	0	0	
247	4.144	0.017	0	15.0	8	0.134	[0.15 0.15]	0	0	
248	4.161	0.016	0	15.0	9	0.15	[0.16666667 0.16666667]	0	0	
249	4.178	0.017	0	15.0	10	0.167	[0.18333333 0.18333333]	0	0	
250	4.194	0.017	0	15.0	11	0.183	[0.2 0.2]	0	0	
251	4.211	0.017	0	15.0	12	0.2	[0.21666667 0.21666667]	0	0	
252	4.227	0.017	0	15.0	13	0.216	[0.23333333 0.23333333]	0	0	
253	4.244	0.017	0	15.0	14	0.233	[0.25 0.25]	0	0	
254	4.261	0.017	0	15.0	15	0.25	[0.26666667 0.26666667]	0	0	
255	4.277	0.017	0	15.0	16	0.267	[0.28333333 0.28333333]	0	0	
256	4.294	0.017	0	15.0	17	0.283	[0.3 0.3]	0	0	
257	4.311	0.017	0	15.0	18	0.3	[0.31666667 0.31666667]	0	0	
258	4.327	0.016	0	15.0	19	0.316	[0.33333333 0.33333333]	0	0	
259	4.344	0.017	0	15.0	20	0.333	[0.35 0.35]	0	0	
260	4.361	0.016	0	15.0	21	0.35	[0.36666667 0.36666667]	0	0	
261	4.377	0.017	0	15.0	22	0.366	[0.38333333 0.38333333]	0	0	
262	4.394	0.017	0	15.0	23	0.383	[0.4 0.4]	0	0	
263	4.411	0.017	0	15.0	24	0.4	[0.41666667 0.41666667]	0	0	
