sample_num	time_passed	sampling_interval	epoch_time	imaging_frame	stimulus_epoch	stim_frame	stim_info1	stim_info2	stim_info3	
1	0.014	0.014	0	1.0	1	[0. 0.]	0	0	
2	0.020	0.034	0	1.0	2	[0. 0.]	0	0	
3	0.015	0.048	0	1.0	3	[0. 0.]	0	0	
4	0.016	0.065	0	1.0	4	[0. 0.]	0	0	
5	0.017	0.082	0	1.0	5	[0. 0.]	0	0	
6	0.017	0.098	0	1.0	6	[0. 0.]	0	0	
7	0.016	0.115	0	1.0	7	[0. 0.]	0	0	
8	0.017	0.132	0	1.0	8	[0. 0.]	0	0	
9	0.016	0.148	0	1.0	9	[0. 0.]	0	0	
10	0.017	0.165	0	1.0	10	[0. 0.]	0	0	
11	0.016	0.181	0	1.0	11	[0. 0.]	0	0	
12	0.017	0.198	0	1.0	12	[0. 0.]	0	0	
13	0.017	0.215	0	1.0	13	[0. 0.]	0	0	
14	0.016	0.231	0	1.0	14	[0. 0.]	0	0	
15	0.017	0.249	0	1.0	15	[0. 0.]	0	0	
16	0.016	0.265	0	1.0	16	[0. 0.]	0	0	
17	0.017	0.282	0	1.0	17	[0. 0.]	0	0	
18	0.017	0.298	0	1.0	18	[0. 0.]	0	0	
19	0.016	0.315	0	1.0	19	[0. 0.]	0	0	
20	0.017	0.332	0	1.0	20	[0. 0.]	0	0	
21	0.017	0.348	0	1.0	21	[0. 0.]	0	0	
22	0.017	0.366	0	1.0	22	[0. 0.]	0	0	
23	0.015	0.381	0	1.0	23	[0. 0.]	0	0	
24	0.017	0.399	0	1.0	24	[0. 0.]	0	0	
25	0.016	0.415	0	1.0	25	[0. 0.]	0	0	
26	0.017	0.432	0	1.0	26	[0. 0.]	0	0	
27	0.017	0.448	0	1.0	27	[0. 0.]	0	0	
28	0.017	0.465	0	1.0	28	[0. 0.]	0	0	
29	0.016	0.482	0	1.0	29	[0. 0.]	0	0	
30	0.017	0.499	0	1.0	30	[0. 0.]	0	0	
31	0.016	0.515	0	1.0	31	[0. 0.]	0	0	
32	0.017	0.532	0	1.0	32	[0. 0.]	0	0	
33	0.016	0.548	0	1.0	33	[0. 0.]	0	0	
34	0.017	0.565	0	1.0	34	[0. 0.]	0	0	
35	0.017	0.582	0	1.0	35	[0. 0.]	0	0	
36	0.017	0.598	0	1.0	36	[0. 0.]	0	0	
37	0.017	0.615	0	1.0	37	[0. 0.]	0	0	
38	0.017	0.632	0	1.0	38	[0. 0.]	0	0	
39	0.017	0.649	0	1.0	39	[0. 0.]	0	0	
40	0.016	0.665	0	1.0	40	[0. 0.]	0	0	
41	0.017	0.682	0	1.0	41	[0. 0.]	0	0	
42	0.017	0.699	0	1.0	42	[0. 0.]	0	0	
43	0.016	0.715	0	1.0	43	[0. 0.]	0	0	
44	0.017	0.732	0	1.0	44	[0. 0.]	0	0	
45	0.017	0.749	0	1.0	45	[0. 0.]	0	0	
46	0.017	0.765	0	1.0	46	[0. 0.]	0	0	
47	0.017	0.782	0	1.0	47	[0. 0.]	0	0	
48	0.017	0.798	0	1.0	48	[0. 0.]	0	0	
49	0.016	0.815	0	1.0	49	[0. 0.]	0	0	
50	0.017	0.832	0	1.0	50	[0. 0.]	0	0	
51	0.017	0.849	0	1.0	51	[0. 0.]	0	0	
52	0.016	0.865	0	1.0	52	[0. 0.]	0	0	
53	0.017	0.882	0	1.0	53	[0. 0.]	0	0	
54	0.016	0.898	0	1.0	54	[0. 0.]	0	0	
55	0.017	0.915	0	1.0	55	[0. 0.]	0	0	
56	0.016	0.931	0	1.0	56	[0. 0.]	0	0	
57	0.017	0.948	0	1.0	57	[0. 0.]	0	0	
58	0.016	0.965	0	1.0	58	[0. 0.]	0	0	
59	0.017	0.982	0	1.0	59	[0. 0.]	0	0	
60	0.017	0.999	0	1.0	60	[0. 0.]	0	0	
61	0.016	1.015	0	1.0	61	[0. 0.]	0	0	
62	0.017	1.032	0	1.0	62	[0. 0.]	0	0	
63	0.017	1.048	0	1.0	63	[0. 0.]	0	0	
64	0.016	1.065	0	1.0	64	[0. 0.]	0	0	
65	0.021	1.086	0	1.0	65	[0. 0.]	0	0	
66	0.012	1.098	0	1.0	66	[0. 0.]	0	0	
67	0.017	1.115	0	1.0	67	[0. 0.]	0	0	
68	0.016	1.132	0	1.0	68	[0. 0.]	0	0	
69	0.017	1.149	0	1.0	69	[0. 0.]	0	0	
70	0.016	1.165	0	1.0	70	[0. 0.]	0	0	
71	0.017	1.182	0	1.0	71	[0. 0.]	0	0	
72	0.017	1.199	0	1.0	72	[0. 0.]	0	0	
73	0.016	1.215	0	1.0	73	[0. 0.]	0	0	
74	0.017	1.232	0	1.0	74	[0. 0.]	0	0	
75	0.017	1.249	0	1.0	75	[0. 0.]	0	0	
76	0.017	1.265	0	1.0	76	[0. 0.]	0	0	
77	0.016	1.282	0	1.0	77	[0. 0.]	0	0	
78	0.017	1.299	0	1.0	78	[0. 0.]	0	0	
79	0.017	1.315	0	1.0	79	[0. 0.]	0	0	
80	0.017	1.332	0	1.0	80	[0. 0.]	0	0	
81	0.017	1.349	0	1.0	81	[0. 0.]	0	0	
82	0.016	1.365	0	1.0	82	[0. 0.]	0	0	
83	0.017	1.382	0	1.0	83	[0. 0.]	0	0	
84	0.017	1.399	0	1.0	84	[0. 0.]	0	0	
85	0.016	1.415	0	1.0	85	[0. 0.]	0	0	
86	0.017	1.432	0	1.0	86	[0. 0.]	0	0	
87	0.017	1.449	0	1.0	87	[0. 0.]	0	0	
88	0.017	1.466	0	1.0	88	[0. 0.]	0	0	
89	0.016	1.482	0	1.0	89	[0. 0.]	0	0	
90	0.017	1.499	0	1.0	90	[0. 0.]	0	0	
91	0.017	1.515	0	1.0	91	[0. 0.]	0	0	
92	0.016	1.532	0	1.0	92	[0. 0.]	0	0	
93	0.017	1.549	0	1.0	93	[0. 0.]	0	0	
94	0.016	1.565	0	1.0	94	[0. 0.]	0	0	
95	0.017	1.582	0	1.0	95	[0. 0.]	0	0	
96	0.017	1.599	0	1.0	96	[0. 0.]	0	0	
97	0.017	1.615	0	1.0	97	[0. 0.]	0	0	
98	0.017	1.632	0	1.0	98	[0. 0.]	0	0	
99	0.017	1.649	0	1.0	99	[0. 0.]	0	0	
100	0.017	1.665	0	1.0	100	[0. 0.]	0	0	
101	0.016	1.682	0	1.0	101	[0. 0.]	0	0	
102	0.017	1.699	0	1.0	102	[0. 0.]	0	0	
103	0.017	1.716	0	1.0	103	[0. 0.]	0	0	
104	0.016	1.732	0	1.0	104	[0. 0.]	0	0	
105	0.017	1.749	0	1.0	105	[0. 0.]	0	0	
106	0.016	1.765	0	1.0	106	[0. 0.]	0	0	
107	0.017	1.783	0	1.0	107	[0. 0.]	0	0	
108	0.016	1.798	0	1.0	108	[0. 0.]	0	0	
109	0.017	1.816	0	1.0	109	[0. 0.]	0	0	
110	0.016	1.832	0	1.0	110	[0. 0.]	0	0	
111	0.017	1.849	0	1.0	111	[0. 0.]	0	0	
112	0.017	1.866	0	1.0	112	[0. 0.]	0	0	
113	0.016	1.882	0	1.0	113	[0. 0.]	0	0	
114	0.017	1.899	0	1.0	114	[0. 0.]	0	0	
115	0.017	1.916	0	1.0	115	[0. 0.]	0	0	
116	0.017	1.932	0	1.0	116	[0. 0.]	0	0	
117	0.017	1.949	0	1.0	117	[0. 0.]	0	0	
118	0.017	1.966	0	1.0	118	[0. 0.]	0	0	
119	0.017	1.982	0	1.0	119	[0. 0.]	0	0	
120	0.017	1.999	0	1.0	120	[0. 0.]	0	0	
121	0.017	2.016	0	1.0	121	[0. 0.]	0	0	
122	0.016	2.032	0	1.0	122	[0. 0.]	0	0	
123	0.017	2.049	0	1.0	123	[0. 0.]	0	0	
124	0.017	2.066	0	1.0	124	[0. 0.]	0	0	
125	0.017	2.082	0	1.0	125	[0. 0.]	0	0	
126	0.016	2.099	0	1.0	126	[0. 0.]	0	0	
127	0.017	2.116	0	1.0	127	[0. 0.]	0	0	
128	0.017	2.132	0	1.0	128	[0. 0.]	0	0	
129	0.016	2.149	0	1.0	129	[0. 0.]	0	0	
130	0.017	2.166	0	1.0	130	[0. 0.]	0	0	
131	0.017	2.182	0	1.0	131	[0. 0.]	0	0	
132	0.016	2.199	0	1.0	132	[0. 0.]	0	0	
133	0.017	2.216	0	1.0	133	[0. 0.]	0	0	
134	0.017	2.232	0	1.0	134	[0. 0.]	0	0	
135	0.016	2.249	0	1.0	135	[0. 0.]	0	0	
136	0.017	2.266	0	1.0	136	[0. 0.]	0	0	
137	0.017	2.282	0	1.0	137	[0. 0.]	0	0	
138	0.016	2.298	0	1.0	138	[0. 0.]	0	0	
139	0.017	2.316	0	1.0	139	[0. 0.]	0	0	
140	0.017	2.332	0	1.0	140	[0. 0.]	0	0	
141	0.016	2.349	0	1.0	141	[0. 0.]	0	0	
142	0.017	2.366	0	1.0	142	[0. 0.]	0	0	
143	0.017	2.383	0	1.0	143	[0. 0.]	0	0	
144	0.016	2.399	0	1.0	144	[0. 0.]	0	0	
