sample_num	sampling_interval	imaging_frame	frame_time	stimulus_epoch	stim_frame	epoch_time	stim_info1	stim_info2	stim_info3	
1	0.017	0	1.0	1	0.017	[0. 0.]	0	0	
2	0.019	0	1.0	2	0.035	[0. 0.]	0	0	
3	0.015	0	1.0	3	0.051	[0. 0.]	0	0	
4	0.016	0	1.0	4	0.067	[0. 0.]	0	0	
5	0.017	0	1.0	5	0.083	[0. 0.]	0	0	
6	0.016	0	1.0	6	0.100	[0. 0.]	0	0	
7	0.017	0	1.0	7	0.117	[0. 0.]	0	0	
8	0.016	0	1.0	8	0.133	[0. 0.]	0	0	
9	0.017	0	1.0	9	0.150	[0. 0.]	0	0	
10	0.017	0	1.0	10	0.167	[0. 0.]	0	0	
11	0.017	0	1.0	11	0.184	[0. 0.]	0	0	
12	0.016	0	1.0	12	0.200	[0. 0.]	0	0	
13	0.017	0	1.0	13	0.217	[0. 0.]	0	0	
14	0.017	0	1.0	14	0.234	[0. 0.]	0	0	
15	0.017	0	1.0	15	0.250	[0. 0.]	0	0	
16	0.016	0	1.0	16	0.267	[0. 0.]	0	0	
17	0.017	0	1.0	17	0.284	[0. 0.]	0	0	
18	0.016	0	1.0	18	0.300	[0. 0.]	0	0	
19	0.017	0	1.0	19	0.317	[0. 0.]	0	0	
20	0.016	0	1.0	20	0.334	[0. 0.]	0	0	
21	0.020	0	1.0	21	0.353	[0. 0.]	0	0	
22	0.014	0	1.0	22	0.367	[0. 0.]	0	0	
23	0.017	0	1.0	23	0.384	[0. 0.]	0	0	
24	0.016	0	1.0	24	0.400	[0. 0.]	0	0	
25	0.017	0	1.0	25	0.417	[0. 0.]	0	0	
26	0.017	0	1.0	26	0.433	[0. 0.]	0	0	
27	0.017	0	1.0	27	0.450	[0. 0.]	0	0	
28	0.017	0	1.0	28	0.467	[0. 0.]	0	0	
29	0.017	0	1.0	29	0.483	[0. 0.]	0	0	
30	0.017	0	1.0	30	0.500	[0. 0.]	0	0	
31	0.017	0	1.0	31	0.517	[0. 0.]	0	0	
32	0.016	0	1.0	32	0.533	[0. 0.]	0	0	
33	0.017	0	1.0	33	0.551	[0. 0.]	0	0	
34	0.016	0	1.0	34	0.567	[0. 0.]	0	0	
35	0.017	0	1.0	35	0.583	[0. 0.]	0	0	
36	0.017	0	1.0	36	0.600	[0. 0.]	0	0	
