total_epoch_num	31																														
randomization_condition	1																														
epoch_nums	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
stim_type	fff-v1	centered-gratings-v1	centered-gratings-v1	centered-gratings-v1	centered-gratings-v1	centered-gratings-v1	centered-gratings-v1	centered-gratings-v1	centered-gratings-v1	centered-gratings-v1	centered-gratings-v1	centered-gratings-v1	centered-gratings-v1	centered-gratings-v1	centered-gratings-v1	centered-gratings-v1	centered-gratings-v1	centered-gratings-v1	centered-gratings-v1	centered-gratings-v1	centered-gratings-v1	centered-gratings-v1	centered-gratings-v1	centered-gratings-v1	centered-gratings-v1	centered-gratings-v1	centered-gratings-v1	centered-gratings-v1	centered-gratings-v1	centered-gratings-v1	centered-gratings-v1
param1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
param2	0.2625	sin	sin	sin	sin	sin	sin	sin	sin	sin	sin	sin	sin	sin	sin	sin	sin	sin	sin	sin	sin	sin	sin	sin	sin	sin	sin	sin	sin	sin	sin
param3		5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
param4		5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
param5		90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90
param6		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
param7		0.0625	0.125	0.25	0.375	0.5	0.0625	0.125	0.25	0.375	0.5	0.0625	0.125	0.25	0.375	0.5	0.0625	0.125	0.25	0.375	0.5	0.0625	0.125	0.25	0.375	0.5	0.0625	0.125	0.25	0.375	0.5
param8		5	5	5	5	5	10	10	10	10	10	15	15	15	15	15	20	20	20	20	20	25	25	25	25	25	30	30	30	30	30
param9		9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9	9
param10		-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
param11		0.2625	0.2625	0.2625	0.2625	0.2625	0.2625	0.2625	0.2625	0.2625	0.2625	0.2625	0.2625	0.2625	0.2625	0.2625	0.2625	0.2625	0.2625	0.2625	0.2625	0.2625	0.2625	0.2625	0.2625	0.2625	0.2625	0.2625	0.2625	0.2625	0.2625
