total_epoch_num	31	Unnamed: 2	Unnamed: 3	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8	Unnamed: 9	Unnamed: 10	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14	Unnamed: 15	Unnamed: 16	Unnamed: 17	Unnamed: 18	Unnamed: 19	Unnamed: 20	Unnamed: 21	Unnamed: 22	Unnamed: 23	Unnamed: 24	Unnamed: 25	Unnamed: 26	Unnamed: 27	Unnamed: 28	Unnamed: 29	Unnamed: 30	Unnamed: 31
randomization_condition	1																														
epoch_nums	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
stim_type	fff-v1	centered-gratings-v1	centered-gratings-v1	centered-gratings-v1	centered-gratings-v1	centered-gratings-v1	centered-gratings-v1	centered-gratings-v1	centered-gratings-v1	centered-gratings-v1	centered-gratings-v1	centered-gratings-v1	centered-gratings-v1	centered-gratings-v1	centered-gratings-v1	centered-gratings-v1	centered-gratings-v1	centered-gratings-v1	centered-gratings-v1	centered-gratings-v1	centered-gratings-v1	centered-gratings-v1	centered-gratings-v1	centered-gratings-v1	centered-gratings-v1	centered-gratings-v1	centered-gratings-v1	centered-gratings-v1	centered-gratings-v1	centered-gratings-v1	centered-gratings-v1
param1	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
param2	0.2625	sin	sin	sin	sin	sin	sin	sin	sin	sin	sin	sin	sin	sin	sin	sin	sin	sin	sin	sin	sin	sin	sin	sin	sin	sin	sin	sin	sin	sin	sin
param3		5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
param4		5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5
param5		90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90	90
param6		1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
param7		0.0625	0.125	0.25	0.375	0.5	0.0625	0.125	0.25	0.375	0.5	0.0625	0.125	0.25	0.375	0.5	0.0625	0.125	0.25	0.375	0.5	0.0625	0.125	0.25	0.375	0.5	0.0625	0.125	0.25	0.375	0.5
param8		5	5	5	5	5	10	10	10	10	10	15	15	15	15	15	20	20	20	20	20	25	25	25	25	25	30	30	30	30	30
param9	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10
param10	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12	-12
param11		0.2625	0.2625	0.2625	0.2625	0.2625	0.2625	0.2625	0.2625	0.2625	0.2625	0.2625	0.2625	0.2625	0.2625	0.2625	0.2625	0.2625	0.2625	0.2625	0.2625	0.2625	0.2625	0.2625	0.2625	0.2625	0.2625	0.2625	0.2625	0.2625	0.2625
